O3,CO,PM25,NOX
3.0,0.799996,11.0,31.0
3.0,0.799996,13.0,30.0
3.0,0.599998,16.0,28.0
3.0,0.599998,16.0,26.0
4.0,0.5,12.0,20.0
5.0,0.9,23.0,41.0
12.0,0.599998,22.0,26.0
21.0,0.4,22.0,18.0
31.0,0.2,17.0,11.0
47.0,0.3,20.0,9.0
56.0,0.2,20.0,6.0
53.0,0.0999998,15.0,3.0
49.0,0.0999998,11.0,3.0
44.0,0.0999998,9.0,2.0
38.0,0.0999998,3.0,1.0
37.0,0.0999998,5.0,1.0
41.0,0.0999998,14.0,2.0
41.0,0.0999998,14.0,3.0
34.0,0.2,11.0,6.0
26.0,0.3,13.0,12.0
19.0,0.4,11.0,19.0
5.0,1.0,24.0,43.0
4.0,1.0,23.0,51.0
4.0,0.7,18.0,40.0
4.0,0.7,15.0,35.0
4.0,0.5,11.0,24.0
4.0,0.4,11.0,18.0
5.0,0.3,10.0,18.0
4.0,0.3,13.0,25.0
6.0,0.4,17.0,38.0
18.0,0.4,19.0,25.0
30.0,0.3,18.0,16.0
43.0,0.3,16.0,12.0
56.0,0.3,13.0,12.0
72.0,0.3,16.0,12.0
65.0,0.2,18.0,6.0
54.0,0.2,9.0,3.0
51.0,0.2,4.0,2.0
51.0,0.2,12.0,2.0
49.0,0.2,11.0,3.0
43.0,0.2,20.0,6.0
36.0,0.2,15.0,7.0
28.0,0.3,14.0,11.0
21.0,0.3,13.0,13.0
17.0,0.3,9.0,14.0
17.0,0.2,4.0,11.0
9.0,0.3,11.0,18.0
5.0,0.4,17.0,21.0
4.0,0.4,20.0,23.0
7.0,0.3,14.0,16.0
9.0,0.2,10.0,10.0
5.0,0.3,14.0,14.0
4.0,0.2,13.0,16.0
7.0,0.3,13.0,21.0
13.0,0.3,18.0,23.0
22.0,0.3,24.0,19.0
32.0,0.2,25.0,13.0
36.0,0.2,22.0,8.0
40.0,0.2,13.0,5.0
43.0,0.2,16.0,4.0
41.0,0.2,19.0,4.0
38.0,0.0999998,7.0,3.0
38.0,0.0999998,11.0,2.0
42.0,0.0999998,15.0,3.0
43.0,0.2,21.0,4.0
38.0,0.2,20.0,5.0
26.0,0.2,16.0,7.0
16.0,0.3,10.0,11.0
7.0,0.3,8.0,17.0
6.0,0.3,8.0,19.0
3.0,0.3,8.0,23.0
3.0,0.3,8.0,19.0
7.0,0.2,10.0,10.0
6.0,0.2,7.0,9.0
7.0,0.0999998,5.0,6.0
7.0,0.0999998,3.0,8.0
3.0,0.3,7.0,23.0
5.0,0.4,32.0,32.0
8.0,0.5,27.0,39.0
12.0,0.5,21.0,36.0
23.0,0.4,21.0,22.0
35.0,0.4,35.0,22.0
44.0,0.4,29.0,19.0
53.0,0.3,21.0,9.0
55.0,0.3,19.0,7.0
53.0,0.2,14.0,6.0
49.0,0.2,13.0,5.0
45.0,0.2,13.0,5.0
42.0,0.3,13.0,7.0
28.0,0.3,12.0,13.0
17.0,0.4,12.0,17.0
12.0,0.3,9.0,19.0
6.0,0.4,7.0,21.0
7.0,0.3,9.0,17.0
6.0,0.3,9.0,16.0
8.0,0.3,8.0,11.0
5.0,0.3,7.0,13.0
9.0,0.2,8.0,7.0
10.0,0.2,11.0,5.0
7.0,0.2,15.0,8.0
3.0,0.3,16.0,19.0
5.0,0.4,17.0,30.0
10.0,0.4,20.0,24.0
15.0,0.5,23.0,33.0
19.0,0.4,18.0,38.0
35.0,0.2,27.0,13.0
43.0,0.2,0.0,9.0
50.0,0.2,0.0,7.0
51.0,0.2,7.5,6.0
49.0,0.2,19.5,5.0
47.0,0.2,13.0,5.0
45.0,0.2,28.0,5.0
41.0,0.2,13.0,6.0
33.0,0.2,15.0,9.0
18.0,0.3,13.0,15.0
7.0,0.4,12.0,23.0
5.0,0.5,13.0,25.0
3.0,0.5,12.0,29.0
3.0,0.5,12.0,34.0
4.0,0.599998,17.0,37.0
4.0,0.5,17.0,36.0
4.0,0.5,14.0,34.0
4.0,0.5,16.0,29.0
4.0,0.4,15.0,30.0
4.0,0.5,17.0,36.0
4.0,0.9,25.0,70.0
8.0,0.799996,29.0,68.0
17.0,0.5,23.0,38.0
29.0,0.4,26.0,27.0
40.0,0.3,20.0,17.0
53.0,0.3,20.0,10.0
59.0,0.2,21.0,7.0
60.0,0.2,19.0,6.0
57.0,0.2,16.0,5.0
47.0,0.2,13.0,5.0
42.0,0.2,12.0,5.0
34.0,0.2,12.0,8.0
27.0,0.3,15.0,13.0
20.0,0.3,14.0,17.0
14.0,0.3,14.0,20.0
10.0,0.3,13.0,20.0
5.0,0.4,12.0,29.0
4.0,0.5,17.0,38.0
4.0,0.5,18.0,38.0
4.0,0.599998,18.0,42.0
4.0,0.5,17.0,36.0
4.0,0.5,16.0,29.0
4.0,0.4,21.0,29.0
4.0,0.599998,25.0,44.0
4.0,1.0,31.0,106.0
7.0,1.0,41.0,93.0
17.0,0.7,39.0,56.0
29.0,0.5,31.0,35.0
45.0,0.4,30.0,26.0
58.0,0.4,39.0,26.0
63.0,0.3,26.0,7.0
65.0,0.3,37.0,6.0
65.0,0.3,36.0,5.0
61.0,0.3,25.0,5.0
53.0,0.3,22.0,8.0
42.0,0.3,17.0,12.0
33.0,0.3,14.0,14.0
23.0,0.3,16.0,18.0
13.0,0.4,18.0,23.0
10.0,0.4,15.0,23.0
4.0,0.599998,16.0,34.0
4.0,0.7,21.0,41.0
8.0,0.4,15.0,20.0
5.0,0.5,18.0,26.0
4.0,0.5,16.0,29.0
4.0,0.5,17.0,25.0
4.0,0.5,17.0,28.0
4.0,0.599998,19.0,42.0
4.0,1.1,29.0,97.0
8.0,0.9,33.0,71.0
15.0,0.799996,32.0,61.0
27.0,0.7,34.0,48.0
49.0,0.5,36.0,31.0
69.0,0.4,45.0,23.0
68.0,0.3,39.0,9.0
69.0,0.3,35.0,6.0
69.0,0.2,28.0,5.0
61.0,0.2,26.0,6.0
57.0,0.3,23.0,8.0
53.0,0.3,24.0,9.0
43.0,0.3,22.0,13.0
26.0,0.4,16.0,18.0
15.0,0.5,20.0,26.0
7.0,0.7,33.0,40.0
5.0,1.1,40.0,59.0
4.0,1.2,37.0,61.0
