FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0100;0,799996;;;
100101;0200;0,799996;;;
100101;0300;0,599998;;;
100101;0400;0,599998;;;
100101;0500;0,5;;;
100101;0600;0,9;;;
100101;0700;0,599998;;;
100101;0800;0,4;;;
100101;0900;0,2;;;
100101;1000;0,3;;;
100101;1100;0,2;;;
100101;1200;0,0999998;;;
100101;1300;0,0999998;;;
100101;1400;0,0999998;;;
100101;1500;0,0999998;;;
100101;1600;0,0999998;;;
100101;1700;0,0999998;;;
100101;1800;0,0999998;;;
100101;1900;0,2;;;
100101;2000;0,3;;;
100101;2100;0,4;;;
100101;2200;1;;;
100101;2300;1;;;
100102;0000;0,7;;;
100102;0100;0,7;;;
100102;0200;0,5;;;
100102;0300;0,4;;;
100102;0400;0,3;;;
100102;0500;0,3;;;
100102;0600;0,4;;;
100102;0700;0,4;;;
100102;0800;0,3;;;
100102;0900;0,3;;;
100102;1000;0,3;;;
100102;1100;0,3;;;
100102;1200;0,2;;;
100102;1300;0,2;;;
100102;1400;0,2;;;
100102;1500;0,2;;;
100102;1600;0,2;;;
100102;1700;0,2;;;
100102;1800;0,2;;;
100102;1900;0,3;;;
100102;2000;0,3;;;
100102;2100;0,3;;;
100102;2200;0,2;;;
100102;2300;0,3;;;
100103;0000;0,4;;;
100103;0100;0,4;;;
100103;0200;0,3;;;
100103;0300;0,2;;;
100103;0400;0,3;;;
100103;0500;0,2;;;
100103;0600;0,3;;;
100103;0700;0,3;;;
100103;0800;0,3;;;
100103;0900;0,2;;;
100103;1000;0,2;;;
100103;1100;0,2;;;
100103;1200;0,2;;;
100103;1300;0,2;;;
100103;1400;0,0999998;;;
100103;1500;0,0999998;;;
100103;1600;0,0999998;;;
100103;1700;0,2;;;
100103;1800;0,2;;;
100103;1900;0,2;;;
100103;2000;0,3;;;
100103;2100;0,3;;;
100103;2200;0,3;;;
100103;2300;0,3;;;
100104;0000;0,3;;;
100104;0100;0,2;;;
100104;0200;0,2;;;
100104;0300;0,0999998;;;
100104;0400;0,0999998;;;
100104;0500;0,3;;;
100104;0600;0,4;;;
100104;0700;0,5;;;
100104;0800;0,5;;;
100104;0900;0,4;;;
100104;1000;0,4;;;
100104;1100;0,4;;;
100104;1200;0,3;;;
100104;1300;0,3;;;
100104;1400;0,2;;;
100104;1500;0,2;;;
100104;1600;0,2;;;
100104;1700;0,3;;;
100104;1800;0,3;;;
100104;1900;0,4;;;
100104;2000;0,3;;;
100104;2100;0,4;;;
100104;2200;0,3;;;
100104;2300;0,3;;;
100105;0000;0,3;;;
100105;0100;0,3;;;
100105;0200;0,2;;;
100105;0300;0,2;;;
100105;0400;0,2;;;
100105;0500;0,3;;;
100105;0600;0,4;;;
100105;0700;0,4;;;
100105;0800;0,5;;;
100105;0900;0,4;;;
100105;1000;0,2;;;
100105;1100;0,2;;;
100105;1200;0,2;;;
100105;1300;0,2;;;
100105;1400;0,2;;;
100105;1500;0,2;;;
100105;1600;0,2;;;
100105;1700;0,2;;;
100105;1800;0,2;;;
100105;1900;0,3;;;
100105;2000;0,4;;;
100105;2100;0,5;;;
100105;2200;0,5;;;
100105;2300;0,5;;;
100106;0000;0,599998;;;
100106;0100;0,5;;;
100106;0200;0,5;;;
100106;0300;0,5;;;
100106;0400;0,4;;;
100106;0500;0,5;;;
100106;0600;0,9;;;
100106;0700;0,799996;;;
100106;0800;0,5;;;
100106;0900;0,4;;;
100106;1000;0,3;;;
100106;1100;0,3;;;
100106;1200;0,2;;;
100106;1300;0,2;;;
100106;1400;0,2;;;
100106;1500;0,2;;;
100106;1600;0,2;;;
100106;1700;0,2;;;
100106;1800;0,3;;;
100106;1900;0,3;;;
100106;2000;0,3;;;
100106;2100;0,3;;;
100106;2200;0,4;;;
100106;2300;0,5;;;
100107;0000;0,5;;;
100107;0100;0,599998;;;
100107;0200;0,5;;;
100107;0300;0,5;;;
100107;0400;0,4;;;
100107;0500;0,599998;;;
100107;0600;1;;;
100107;0700;1;;;
100107;0800;0,7;;;
100107;0900;0,5;;;
100107;1000;0,4;;;
100107;1100;0,4;;;
100107;1200;0,3;;;
100107;1300;0,3;;;
100107;1400;0,3;;;
100107;1500;0,3;;;
100107;1600;0,3;;;
100107;1700;0,3;;;
100107;1800;0,3;;;
100107;1900;0,3;;;
100107;2000;0,4;;;
100107;2100;0,4;;;
100107;2200;0,599998;;;
100107;2300;0,7;;;
100108;0000;0,4;;;
100108;0100;0,5;;;
100108;0200;0,5;;;
100108;0300;0,5;;;
100108;0400;0,5;;;
100108;0500;0,599998;;;
100108;0600;1,1;;;
100108;0700;0,9;;;
100108;0800;0,799996;;;
100108;0900;0,7;;;
100108;1000;0,5;;;
100108;1100;0,4;;;
100108;1200;0,3;;;
100108;1300;0,3;;;
100108;1400;0,2;;;
100108;1500;0,2;;;
100108;1600;0,3;;;
100108;1700;0,3;;;
100108;1800;0,3;;;
100108;1900;0,4;;;
100108;2000;0,5;;;
100108;2100;0,7;;;
100108;2200;1,1;;;
100108;2300;1,2;;;
100109;0000;1,5;;;
100109;0100;1,2;;;
100109;0200;0,9;;;
100109;0300;0,9;;;
100109;0400;0,799996;;;
100109;0500;0,7;;;
100109;0600;0,7;;;
100109;0700;0,7;;;
100109;0800;0,599998;;;
100109;0900;0,5;;;
100109;1000;0,4;;;
100109;1100;0,0999998;;;
100109;1200;0,2;;;
100109;1300;0,2;;;
100109;1400;0,2;;;
100109;1500;0,2;;;
100109;1600;0,2;;;
100109;1700;0,2;;;
100109;1800;0,2;;;
100109;1900;0,2;;;
100109;2000;0,4;;;
100109;2100;0,5;;;
100109;2200;0,799996;;;
100109;2300;1,2;;;
100110;0000;0,9;;;
100110;0100;1;;;
100110;0200;1,1;;;
100110;0300;0,9;;;
100110;0400;0,7;;;
100110;0500;0,599998;;;
100110;0600;0,599998;;;
100110;0700;0,5;;;
100110;0800;0,4;;;
100110;0900;0,4;;;
100110;1000;0,3;;;
100110;1100;0,3;;;
100110;1200;0,2;;;
100110;1300;0,3;;;
100110;1400;0,3;;;
100110;1500;0,2;;;
100110;1600;0,2;;;
100110;1700;0,0999998;;;
100110;1800;0,0999998;;;
100110;1900;0,2;;;
100110;2000;0,2;;;
100110;2100;0,3;;;
100110;2200;0,4;;;
100110;2300;0,3;;;
100111;0000;0,3;;;
100111;0100;0,4;;;
100111;0200;0,3;;;
100111;0300;0,2;;;
100111;0400;0,4;;;
100111;0500;0,5;;;
100111;0600;0,799996;;;
100111;0700;0,5;;;
100111;0800;0,4;;;
100111;0900;0,3;;;
100111;1000;0,3;;;
100111;1100;;;21,9601;
100111;1200;;;;
100111;1300;0,0999998;;;
100111;1400;0,0999998;;;
100111;1500;0,0999998;;;
100111;1600;0,0999998;;;
100111;1700;0,0999998;;;
100111;1800;0,0999998;;;
100111;1900;0,0999998;;;
100111;2000;0,0999998;;;
100111;2100;0,0999998;;;
100111;2200;0,0999998;;;
100111;2300;0,0999998;;;
100112;0000;0,2;;;
100112;0100;0,0999998;;;
100112;0200;0,2;;;
100112;0300;0,2;;;
100112;0400;0,3;;;
100112;0500;0,3;;;
100112;0600;0,9;;;
100112;0700;0,599998;;;
100112;0800;0,4;;;
100112;0900;0,4;;;
100112;1000;0,3;;;
100112;1100;0,3;;;
100112;1200;0,2;;;
100112;1300;0,0999998;;;
100112;1400;0,0999998;;;
100112;1500;0,0999998;;;
100112;1600;0,0999998;;;
100112;1700;0,2;;;
100112;1800;0,2;;;
100112;1900;0,3;;;
100112;2000;0,4;;;
100112;2100;0,799996;;;
100112;2200;1,2;;;
100112;2300;1,1;;;
100113;0000;0,9;;;
100113;0100;0,799996;;;
100113;0200;0,599998;;;
100113;0300;0,4;;;
100113;0400;0,3;;;
100113;0500;0,5;;;
100113;0600;1;;;
100113;0700;0,9;;;
100113;0800;0,599998;;;
100113;0900;0,5;;;
100113;1000;0,5;;;
100113;1100;0,4;;;
100113;1200;0,2;;;
100113;1300;0,0999998;;;
100113;1400;0,0999998;;;
100113;1500;0,0999998;;;
100113;1600;0,0999998;;;
100113;1700;0,0999998;;;
100113;1800;0,2;;;
100113;1900;0,2;;;
100113;2000;0,5;;;
100113;2100;1,2;;;
100113;2200;1,1;;;
100113;2300;0,9;;;
100114;0000;0,7;;;
100114;0100;0,7;;;
100114;0200;0,5;;;
100114;0300;0,3;;;
100114;0400;0,3;;;
100114;0500;0,4;;;
100114;0600;1;;;
100114;0700;1,2;;;
100114;0800;0,599998;;;
100114;0900;0,5;;;
100114;1000;0,4;;;
100114;1100;0,3;;;
100114;1200;0,2;;;
100114;1300;0,2;;;
100114;1400;0,2;;;
100114;1500;0,3;;;
100114;1600;0,2;;;
100114;1700;0,2;;;
100114;1800;0,3;;;
100114;1900;0,3;;;
100114;2000;0,4;;;
100114;2100;0,5;;;
100114;2200;0,599998;;;
100114;2300;0,7;;;
100115;0000;0,799996;;;
100115;0100;0,599998;;;
100115;0200;0,5;;;
100115;0300;0,4;;;
100115;0400;0,5;;;
100115;0500;0,599998;;;
100115;0600;1;;;
100115;0700;0,799996;;;
100115;0800;0,7;;;
100115;0900;0,9;;;
100115;1000;0,799996;;;
100115;1100;0,7;;;
100115;1200;0,5;;;
100115;1300;0,4;;;
100115;1400;0,4;;;
100115;1500;0,4;;;
100115;1600;0,4;;;
100115;1700;0,5;;;
100115;1800;0,5;;;
100115;1900;0,5;;;
100115;2000;0,5;;;
100115;2100;0,7;;;
100115;2200;0,599998;;;
100115;2300;0,7;;;
100116;0000;0,599998;;;
100116;0100;0,599998;;;
100116;0200;0,5;;;
