FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0100;11;;;
100101;0200;13;;;
100101;0300;16;;;
100101;0400;16;;;
100101;0500;12;;;
100101;0600;23;;;
100101;0700;22;;;
100101;0800;22;;;
100101;0900;17;;;
100101;1000;20;;;
100101;1100;20;;;
100101;1200;15;;;
100101;1300;11;;;
100101;1400;9;;;
100101;1500;3;;;
100101;1600;5;;;
100101;1700;14;;;
100101;1800;14;;;
100101;1900;11;;;
100101;2000;13;;;
100101;2100;11;;;
100101;2200;24;;;
100101;2300;23;;;
100102;0000;18;;;
100102;0100;15;;;
100102;0200;11;;;
100102;0300;11;;;
100102;0400;10;;;
100102;0500;13;;;
100102;0600;17;;;
100102;0700;19;;;
100102;0800;18;;;
100102;0900;16;;;
100102;1000;13;;;
100102;1100;16;;;
100102;1200;18;;;
100102;1300;9;;;
100102;1400;4;;;
100102;1500;12;;;
100102;1600;11;;;
100102;1700;20;;;
100102;1800;15;;;
100102;1900;14;;;
100102;2000;13;;;
100102;2100;9;;;
100102;2200;4;;;
100102;2300;11;;;
100103;0000;17;;;
100103;0100;20;;;
100103;0200;14;;;
100103;0300;10;;;
100103;0400;14;;;
100103;0500;13;;;
100103;0600;13;;;
100103;0700;18;;;
100103;0800;24;;;
100103;0900;25;;;
100103;1000;22;;;
100103;1100;13;;;
100103;1200;16;;;
100103;1300;19;;;
100103;1400;7;;;
100103;1500;11;;;
100103;1600;15;;;
100103;1700;21;;;
100103;1800;20;;;
100103;1900;16;;;
100103;2000;10;;;
100103;2100;8;;;
100103;2200;8;;;
100103;2300;8;;;
100104;0000;8;;;
100104;0100;10;;;
100104;0200;7;;;
100104;0300;5;;;
100104;0400;3;;;
100104;0500;7;;;
100104;0600;32;;;
100104;0700;27;;;
100104;0800;21;;;
100104;0900;21;;;
100104;1000;35;;;
100104;1100;29;;;
100104;1200;21;;;
100104;1300;19;;;
100104;1400;14;;;
100104;1500;13;;;
100104;1600;13;;;
100104;1700;13;;;
100104;1800;12;;;
100104;1900;12;;;
100104;2000;9;;;
100104;2100;7;;;
100104;2200;9;;;
100104;2300;9;;;
100105;0000;8;;;
100105;0100;7;;;
100105;0200;8;;;
100105;0300;11;;;
100105;0400;15;;;
100105;0500;16;;;
100105;0600;17;;;
100105;0700;20;;;
100105;0800;23;;;
100105;0900;18;;;
100105;1000;27;;;
100105;1100;;;0;
100105;1200;;;0;
100105;1300;;;7,5;
100105;1400;;;19,5;
100105;1500;13;;;
100105;1600;28;;;
100105;1700;13;;;
100105;1800;15;;;
100105;1900;13;;;
100105;2000;12;;;
100105;2100;13;;;
100105;2200;12;;;
100105;2300;12;;;
100106;0000;17;;;
100106;0100;17;;;
100106;0200;14;;;
100106;0300;16;;;
100106;0400;15;;;
100106;0500;17;;;
100106;0600;25;;;
100106;0700;29;;;
100106;0800;23;;;
100106;0900;26;;;
100106;1000;20;;;
100106;1100;20;;;
100106;1200;21;;;
100106;1300;19;;;
100106;1400;16;;;
100106;1500;13;;;
100106;1600;12;;;
100106;1700;12;;;
100106;1800;15;;;
100106;1900;14;;;
100106;2000;14;;;
100106;2100;13;;;
100106;2200;12;;;
100106;2300;17;;;
100107;0000;18;;;
100107;0100;18;;;
100107;0200;17;;;
100107;0300;16;;;
100107;0400;21;;;
100107;0500;25;;;
100107;0600;31;;;
100107;0700;41;;;
100107;0800;39;;;
100107;0900;31;;;
100107;1000;30;;;
100107;1100;39;;;
100107;1200;26;;;
100107;1300;37;;;
100107;1400;36;;;
100107;1500;25;;;
100107;1600;22;;;
100107;1700;17;;;
100107;1800;14;;;
100107;1900;16;;;
100107;2000;18;;;
100107;2100;15;;;
100107;2200;16;;;
100107;2300;21;;;
100108;0000;15;;;
100108;0100;18;;;
100108;0200;16;;;
100108;0300;17;;;
100108;0400;17;;;
100108;0500;19;;;
100108;0600;29;;;
100108;0700;33;;;
100108;0800;32;;;
100108;0900;34;;;
100108;1000;36;;;
100108;1100;45;;;
100108;1200;39;;;
100108;1300;35;;;
100108;1400;28;;;
100108;1500;26;;;
100108;1600;23;;;
100108;1700;24;;;
100108;1800;22;;;
100108;1900;16;;;
100108;2000;20;;;
100108;2100;33;;;
100108;2200;40;;;
100108;2300;37;;;
100109;0000;35;;;
100109;0100;30;;;
100109;0200;26;;;
100109;0300;28;;;
100109;0400;26;;;
100109;0500;26;;;
100109;0600;33;;;
100109;0700;36;;;
100109;0800;34;;;
100109;0900;35;;;
100109;1000;34;;;
100109;1100;14;;;
100109;1200;22;;;
100109;1300;29;;;
100109;1400;29;;;
100109;1500;25;;;
100109;1600;27;;;
100109;1700;21;;;
100109;1800;21;;;
100109;1900;17;;;
100109;2000;25;;;
100109;2100;27;;;
100109;2200;31;;;
100109;2300;44;;;
100110;0000;36;;;
100110;0100;35;;;
100110;0200;31;;;
100110;0300;25;;;
100110;0400;27;;;
100110;0500;24;;;
100110;0600;25;;;
100110;0700;26;;;
100110;0800;25;;;
100110;0900;25;;;
100110;1000;29;;;
100110;1100;28;;;
100110;1200;24;;;
100110;1300;33;;;
100110;1400;31;;;
100110;1500;39;;;
100110;1600;25;;;
100110;1700;14;;;
100110;1800;10;;;
100110;1900;10;;;
100110;2000;6;;;
100110;2100;15;;;
100110;2200;11;;;
100110;2300;9;;;
100111;0000;9;;;
100111;0100;13;;;
100111;0200;13;;;
100111;0300;11;;;
100111;0400;14;;;
100111;0500;16;;;
100111;0600;20;;;
100111;0700;18;;;
100111;0800;16;;;
100111;0900;15;;;
100111;1000;18;;;
100111;1100;14;;;
100111;1200;15;;;
100111;1300;14;;;
100111;1400;15;;;
100111;1500;15;;;
100111;1600;12;;;
100111;1700;9;;;
100111;1800;9;;;
100111;1900;11;;;
100111;2000;11;;;
100111;2100;11;;;
100111;2200;12;;;
100111;2300;6;;;
100112;0000;7;;;
100112;0100;5;;;
100112;0200;8;;;
