FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0100;3;;;
100101;0200;3;;;
100101;0300;3;;;
100101;0400;3;;;
100101;0500;4;;;
100101;0600;5;;;
100101;0700;12;;;
100101;0800;21;;;
100101;0900;31;;;
100101;1000;47;;;
100101;1100;56;;;
100101;1200;53;;;
100101;1300;49;;;
100101;1400;44;;;
100101;1500;38;;;
100101;1600;37;;;
100101;1700;41;;;
100101;1800;41;;;
100101;1900;34;;;
100101;2000;26;;;
100101;2100;19;;;
100101;2200;5;;;
100101;2300;4;;;
100102;0000;4;;;
100102;0100;4;;;
100102;0200;4;;;
100102;0300;4;;;
100102;0400;5;;;
100102;0500;4;;;
100102;0600;6;;;
100102;0700;18;;;
100102;0800;30;;;
100102;0900;43;;;
100102;1000;56;;;
100102;1100;72;;;
100102;1200;65;;;
100102;1300;54;;;
100102;1400;51;;;
100102;1500;51;;;
100102;1600;49;;;
100102;1700;43;;;
100102;1800;36;;;
100102;1900;28;;;
100102;2000;21;;;
100102;2100;17;;;
100102;2200;17;;;
100102;2300;9;;;
100103;0000;5;;;
100103;0100;4;;;
100103;0200;7;;;
100103;0300;9;;;
100103;0400;5;;;
100103;0500;4;;;
100103;0600;7;;;
100103;0700;13;;;
100103;0800;22;;;
100103;0900;32;;;
100103;1000;36;;;
100103;1100;40;;;
100103;1200;43;;;
100103;1300;41;;;
100103;1400;38;;;
100103;1500;38;;;
100103;1600;42;;;
100103;1700;43;;;
100103;1800;38;;;
100103;1900;26;;;
100103;2000;16;;;
100103;2100;7;;;
100103;2200;6;;;
100103;2300;3;;;
100104;0000;3;;;
100104;0100;7;;;
100104;0200;6;;;
100104;0300;7;;;
100104;0400;7;;;
100104;0500;3;;;
100104;0600;5;;;
100104;0700;8;;;
100104;0800;12;;;
100104;0900;23;;;
100104;1000;35;;;
100104;1100;44;;;
100104;1200;53;;;
100104;1300;55;;;
100104;1400;53;;;
100104;1500;49;;;
100104;1600;45;;;
100104;1700;42;;;
100104;1800;28;;;
100104;1900;17;;;
100104;2000;12;;;
100104;2100;6;;;
100104;2200;7;;;
100104;2300;6;;;
100105;0000;8;;;
100105;0100;5;;;
100105;0200;9;;;
100105;0300;10;;;
100105;0400;7;;;
100105;0500;3;;;
100105;0600;5;;;
100105;0700;10;;;
100105;0800;15;;;
100105;0900;19;;;
100105;1000;35;;;
100105;1100;43;;;
100105;1200;50;;;
100105;1300;51;;;
100105;1400;49;;;
100105;1500;47;;;
100105;1600;45;;;
100105;1700;41;;;
